Blocos, Intervalos_eixo_x, Intervals_eixo_y, Tempo(ms), Result
10, 1000, 1000, 2.624476909637451, 1.399557974487645
10, 1000, 10000, 20.964799880981445, 1.399558626237427
10, 1000, 100000, 93.959671020507812, 1.399558632754930
10, 10000, 1000, 9.003929138183594, 1.399558626237434
10, 10000, 10000, 89.795417785644531, 1.399559277987521
10, 10000, 100000, 901.177734375000000, 1.399559284505016
10, 100000, 1000, 90.216323852539062, 1.399558632754929
10, 100000, 10000, 897.693969726562500, 1.399559284505020
10, 100000, 100000, 9742.022460937500000, 1.399559291022511
100, 1000, 1000, 0.341750413179398, 1.399557974487653
100, 1000, 10000, 2.749532699584961, 1.399558626237427
100, 1000, 100000, 27.068811416625977, 1.399558632754936
100, 10000, 1000, 2.745801448822021, 1.399558626237439
100, 10000, 10000, 27.050128936767578, 1.399559277987521
100, 10000, 100000, 270.292785644531250, 1.399559284505030
100, 100000, 1000, 27.092563629150391, 1.399558632754927
100, 100000, 10000, 270.423187255859375, 1.399559284505005
100, 100000, 100000, 2867.479492187500000, 1.399559291022497
1000, 1000, 1000, 1.039292812347412, 1.399557974487689
1000, 1000, 10000, 2.452895879745483, 1.399558626237473
1000, 1000, 100000, 22.788003921508789, 1.399558632754874
1000, 10000, 1000, 2.461667299270630, 1.399558626237452
1000, 10000, 10000, 22.788402557373047, 1.399559277987563
1000, 10000, 100000, 226.043579101562500, 1.399559284505020
1000, 100000, 1000, 22.794376373291016, 1.399558632754943
1000, 100000, 10000, 226.106445312500000, 1.399559284505017
1000, 100000, 100000, 2386.500000000000000, 1.399559291022501