Cores,Intervals_x_axis,Intervals_y_axis,Time Taken,Result
1,1000,1000,0.01895,1.39892
1,1000,10000,0.09806,1.39921
1,1000,100000,0.86951,1.39924
1,10000,1000,0.09543,1.39921 
1,10000,10000,0.83756,1.39950
1,10000,100000,8.56669,1.39952
1,100000,1000,0.86087,1.39924
1,100000,10000,8.44908,1.39952
1,100000,100000,84.32632,1.39955
2,1000,1000,0.00998,1.39892 
2,1000,10000,0.05547,1.39921
2,1000,100000,0.44427,1.39924
2,10000,1000,0.05263,1.39921
2,10000,10000,0.44657,1.39950
2,10000,100000,4.55121,1.39952
2,100000,1000,0.44634,1.39924
2,100000,10000,4.55101,1.39952 
2,100000,100000,45.0787,1.3996
4,1000,1000,0.0090,1.3989
4,1000,10000,0.0335,1.3992
4,1000,100000,0.2493,1.3992 
4,10000,1000,0.0313,1.3992 
4,10000,10000,0.2479,1.3995
4,10000,100000,2.4758,1.3995
4,100000,1000,0.2462,1.3992
4,100000,10000,2.4356,1.3995
4,100000,100000,25.5601,1.3996
8,1000,1000,0.0067,1.3989
8,1000,10000,0.0360,1.3992
8,1000,100000,0.2111,1.3992
8,10000,1000,0.0384,1.3992
8,10000,10000,0.2037,1.3995
8,10000,100000,1.7650,1.3995
8,100000,1000,0.2466,1.3992
8,100000,10000,1.9809,1.3995
8,100000,100000,21.181,1.3996